assay_name	compound_pubchem_cid	assay_outcome	cid	smiles
tox21-mitotox-p1	CID_10455790	1	10455790	Fc6ccccc6C3=N[C@@H](NC(=O)c1cc2ccccc2n1)C(=O)N5CCc4cccc3c45
tox21-mitotox-p1	CID_119175	1	119175	CC(C)Cc1ccc(cc1)CCc2cc5c(s2)n3c(C)nnc3C(C)N=C5c4ccccc4Cl
tox21-mitotox-p1	CID_3194	1	3194	O=C1c3ccccc3[Se]N1c2ccccc2
tox21-mitotox-p1	CID_5870	1	5870	Oc3cc4CC[C@@H]1[C@H](CC[C@]2(C)C(=O)CC[C@@H]12)c4cc3
tox21-mitotox-p1	CID_3386	1	3386	FC(F)(F)c2ccc(OC(CCNC)c1ccccc1)cc2
tox21-mitotox-p1	CID_3372	1	3372	FC(F)(F)c2cc3N(CCCN1CCN(CCO)CC1)c4ccccc4Sc3cc2
tox21-mitotox-p1	CID_11683	1	11683	CC(=O)[C@@]3(OC(C)=O)CC[C@H]2[C@@H]4C=C(C)C1=CC(=O)CC[C@]1(C)[C@H]4CC[C@@]23C
tox21-mitotox-p1	CID_2391	1	2391	CC(=O)Oc1ccc(cc1)C(c2ccc(OC(C)=O)cc2)c3ccccn3
tox21-mitotox-p1	CID_6433208	1	6433208	Cl.Cl.OCCN1CCN(CC1)CC\C=C2\c4ccccc4Sc3ccc(Cl)cc23
tox21-mitotox-p1	CID_12456	1	12456	[Cl-].COc2ccc1cc3c4cc5OCOc5cc4CC[n+]3cc1c2OC
tox21-mitotox-p1	CID_60196270	1	60196270	CNC[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO.FC(F)(F)c2cccc(Nc1ncccc1C(=O)O)c2C
tox21-mitotox-p1	CID_11954258	1	11954258	O=C(O)C(O)CC(=O)O.O=C(O)C(O)CC(=O)O.CN1CCN(CC1)CCCN2c4ccccc4Sc3ccc(SCC)cc23
tox21-mitotox-p1	CID_3036	1	3036	Clc1ccc(cc1)C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl
tox21-mitotox-p1	CID_23668198	1	23668198	[Na+].CN(C)c1ccc(/N=N/S([O-])(=O)=O)cc1
tox21-mitotox-p1	CID_11057	1	11057	[Cl-].C/[N+](C)=C1\C=C\C(C=C1)=C(/c2ccc(cc2)N(C)C)c3ccc(cc3)N(C)C
tox21-mitotox-p1	CID_6780	1	6780	O=C2c1ccccc1C(=O)c3ccccc23
tox21-mitotox-p1	CID_23667299	1	23667299	[Na+].OC[C@]1(O)O[C@@H]([C@@H](C)C[C@H]1C)[C@H]2C[C@H](C)[C@@H](O2)[C@]3(CC)CC[C@@H](O3)[C@]5(C)CC[C@]4(C[C@H](O)[C@@H](C)[C@H](O4)[C@@H](C)[C@@H](OC)[C@H](C)C([O-])=O)O5
tox21-mitotox-p1	CID_2799	1	2799	Clc2cc(Cl)ccc2Cc1cc(ccc1O)C(C)(C)CC(C)(C)C
tox21-mitotox-p1	CID_14868	1	14868	Oc1c(cc(Br)cc1Br)C(=O)Nc2ccc(Br)cc2
tox21-mitotox-p1	CID_5282219	1	5282219	C/C(C)=C\COc1ccc(cc1)/C=C/C(=O)c2ccc(cc2OCC(=O)O)OC\C=C(/C)C
tox21-mitotox-p1	CID_4744	1	4744	CN1CCN(CC1)CCCN2c4ccccc4Sc3ccccc23
tox21-mitotox-p1	CID_493570	1	493570	OC[C@@H](O)[C@@H](O)[C@@H](O)CN2C3=NC(=O)NC(=O)C3=Nc1cc(C)c(C)cc12
tox21-mitotox-p1	CID_27400	1	27400	CN1CC/C(CC1)=C3\c4ccccc4CCc2sccc23
tox21-mitotox-p1	CID_5311071	1	5311071	C[C@H]3CC[C@H](O)C/C3=C\C=C1/CCC[C@]2(C)[C@H](CC[C@@H]12)[C@H](C)/C=C/[C@H](C)C(C)C
tox21-mitotox-p1	CID_65651	1	65651	Fc1cccc(F)c1C(=O)NC(=O)Nc3cc(Oc2ncc(cc2Cl)C(F)(F)F)c(Cl)cc3
tox21-mitotox-p1	CID_9509	1	9509	O=C(Nc1ccc(cc1)[N+]([O-])=O)Nc2ccc(cc2)[N+]([O-])=O
tox21-mitotox-p1	CID_82146	1	82146	O=C(O)c1ccc(cc1)C(=C)c2cc3c(cc2C)C(C)(C)CCC3(C)C
tox21-mitotox-p1	CID_5284572	1	5284572	[Na+].[O-]S(=O)(=O)CCCC[N+]=6c2ccc1ccccc1c2C(C)(C)C=6/C=C\C=C/C=C\C=C5\N(CCCCS([O-])(=O)=O)c4ccc3ccccc3c4C5(C)C
tox21-mitotox-p1	CID_656612	1	656612	Cl/C(Cl)=C/[C@@H]2[C@@H](C(=O)OCc1c(F)c(F)cc(F)c1F)C2(C)C
tox21-mitotox-p1	CID_5280961	1	5280961	Oc1ccc(cc1)C3=COc2cc(O)cc(O)c2C3=O
tox21-mitotox-p1	CID_6420022	1	6420022	Cl.CN(C)CC\C=C1/c3ccccc3SCc2ccccc12
tox21-mitotox-p1	CID_13764	1	13764	O=[N+]([O-])c2ccc(\C=N/NC(=O)c1ccc(O)cc1)o2
tox21-mitotox-p1	CID_9940086	1	9940086	O=C(OC)CCc6c(C)c1nc6cc5nc(cc4nc(cc2nc(c1)C(C=C)=C2C)C3=CC=C([C@@H](C(=O)OC)[C@]34C)C(=O)OC)C(C)=C5CCC(=O)O
tox21-mitotox-p1	CID_969516	1	969516	Oc1ccc(cc1OC)/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2
tox21-mitotox-p1	CID_7108	1	7108	c1ccc2Sc3ccccc3Nc2c1
tox21-mitotox-p1	CID_1483	1	1483	Brc1cc(Br)cc(Br)c1O
tox21-mitotox-p1	CID_3598	1	3598	Clc2c(Cc1c(O)c(Cl)cc(Cl)c1Cl)c(O)c(Cl)cc2Cl
tox21-mitotox-p1	CID_7271	1	7271	Oc1cc(Cl)c(Cl)cc1Cl
tox21-mitotox-p1	CID_5284439	1	5284439	O=C(O)\C=C/C(=O)O.C(C(C1CCCCC1)C2CCCCC2)C3CCCCN3
tox21-mitotox-p1	CID_6426773	1	6426773	[Na+].C[C@H]2C[C@](CC)(O[C@@H]2[C@@H](CC)C(=O)[C@@H](C)[C@@H](O)[C@H](C)CCc1ccc(C)c(O)c1C([O-])=O)[C@H]3CC[C@](O)(CC)[C@H](C)O3
tox21-mitotox-p1	CID_5334	1	5334	O=S(=O)(Nc1ccc(cc1)[N+]([O-])=O)c2ccc(NC(C)=O)cc2
tox21-mitotox-p1	CID_3316	1	3316	NC(=O)c1ccccc1OCCCCCC
tox21-mitotox-p1	CID_9941647	1	9941647	CNc1ccc(cc1)C(=O)CC(O)CCC(C)C3OC(=O)CC(O)CC(=O)CC(O)CC(O)CC(O)CC(O)CC4(O)CC(O)C(C(=O)OC)C(CC(O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C=CC=CC=CC=CC=CC=CC=CC3C)O4
tox21-mitotox-p1	CID_23703990	1	23703990	[Na+].[O-]C(=O)[C@H](CC)[C@H]1CC[C@H](C)[C@@H](O1)[C@@H](C)[C@H](O)[C@H](C)C(=O)[C@H](CC)[C@H]5O[C@]4(C=C[C@@H](O)[C@]2(CC[C@](C)(O2)[C@H]3CC[C@](O)(CC)[C@H](C)O3)O4)[C@H](C)C[C@@H]5C
tox21-mitotox-p1	CID_235905	1	235905	C[C@]32CC[C@@H]1[C@H]4CCCC=C4CC[C@H]1[C@@H]3CC[C@@]2(O)CC=C
tox21-mitotox-p1	CID_7232	1	7232	c1cccc2sc(nc12)SNC3CCCCC3
tox21-mitotox-p1	CID_2893	1	2893	O=C(OC1CC(C)CC(C)(C)C1)C(O)c2ccccc2
tox21-mitotox-p1	CID_32343	1	32343	[Na+].[Na+].[O-]C(=O)c4c(Cl)c(Cl)c(Cl)c(Cl)c4C=2c3cc(I)c([O-])c(I)c3OC=1C=2C=C(I)C(=O)C=1I
tox21-mitotox-p1	CID_60795	1	60795	Clc4cccc(N3CCN(CCCCOc1ccc2CCC(=O)Nc2c1)CC3)c4Cl
tox21-mitotox-p1	CID_5318432	1	5318432	O=C3c4ccccc4N/C3=C2/Nc1ccccc1C2=O
tox21-mitotox-p1	CID_6505803	1	6505803	NC(=O)O[C@H]1C(C)=C[C@H](C)[C@@H](O)[C@@H](OC)C[C@H](C)CC2=C(NCC=C)C(=O)C=C(NC(=O)C(C)=CC=C[C@@H]1OC)C2=O
tox21-mitotox-p1	CID_445643	1	445643	O[C@@H]1CC[C@H](C[C@H]1OC)\C=C(/C)[C@H]2OC(=O)[C@@H]4CCCCN4C(=O)C(=O)[C@]3(O)O[C@H]([C@H](C[C@@H](C)CC(C)=C[C@@H](CC=C)C(=O)C[C@H](O)[C@H]2C)OC)[C@H](C[C@H]3C)OC
tox21-mitotox-p1	CID_439501	1	439501	O=C1C=C(CO1)[C@H]2CC[C@]3(O)[C@@H]4CC[C@]5(O)C[C@H](C[C@@H](O)[C@]5(CO)[C@H]4[C@H](O)C[C@]23C)O[C@@H]6O[C@@H](C)[C@H](O)[C@@H](O)[C@H]6O
tox21-mitotox-p1	CID_9849425	1	9849425	O=S(=O)(O)O.Nc1cc2nc3cc(N)ccc3cc2cc1.Nc1cc2nc3cc(N)ccc3cc2cc1
tox21-mitotox-p1	CID_5709754	1	5709754	[I-].CC[n+]3c4ccccc4ccc3C=CC=C2C=Cc1ccccc1N2CC
tox21-mitotox-p1	CID_71386	1	71386	ClCC(=O)[C@@]3(OC(=O)CCC)[C@@H](C)C[C@H]2[C@@H]4CCC1=CC(=O)C=C[C@]1(C)[C@@]4(F)C(=O)C[C@@]23C
tox21-mitotox-p1	CID_17671	1	17671	[Cl-].Cc1cc[n+](CCCCCCCCCCCCCC)cc1
tox21-mitotox-p1	CID_4066	1	4066	c3ccc4Sc5ccccc5N(CC2CN1CCC2CC1)c4c3
tox21-mitotox-p1	CID_157920	1	157920	O=C(O)CCCCCC[C@H]1C(=O)C[C@H]2O[C@](O)(CC[C@H]12)C(F)(F)CCCC
tox21-mitotox-p1	CID_16760141	1	16760141	CC(C)\C=C(/C)[C@H]5O[C@]4(O[C@H]1C[C@H](OC(=O)[C@@H]2C=C(C)[C@@H](O)[C@H]3OCC(=CC=C[C@H](C)CC(C)=CC1)[C@@]23O)C4)C\C(=N\OC)[C@@H]5C
tox21-mitotox-p1	CID_54459	1	54459	c1ccc2OC(COc2c1)C3=NCCN3
tox21-mitotox-p1	CID_3696	1	3696	CN(C)CCCN2c3ccccc3CCc1ccccc12
tox21-mitotox-p1	CID_3899	1	3899	Cc2oncc2C(=O)Nc1ccc(cc1)C(F)(F)F
tox21-mitotox-p1	CID_4122	1	4122	O=C(c1cc2nc(NC(=O)OC)nc2cc1)c3cccs3
tox21-mitotox-p1	CID_16129666	1	16129666	CC(CC)C%10NC2C=Cc1c(cc(nc1C2O)C(=O)OC(C)C7NC(=O)c3nc(sc3)C(NC(=O)C4N=C(SC4)C(/NC(=O)C(NC(=O)c5csc(n5)C8(CCC(=NC8c6nc7sc6)c9nc(cs9)C(=O)NC(=C)C(=O)NC(=C)C(N)=O)NC(=O)C(C)NC(=O)C(=C)NC(=O)C(C)NC%10=O)C(C)O)=C\C)C(C)(O)C(O)C)C(O)C
tox21-mitotox-p1	CID_64722	1	64722	Cl.CN1CCCC(C1)CC2c4ccccc4Sc3ccccc23
tox21-mitotox-p1	CID_62413	1	62413	Cl.Clc1ccc(cc1)C(c2ccccc2)N3CCN(C)CC3
tox21-mitotox-p1	CID_3969	1	3969	CC(=O)c2ccc(OCCCCc1nnnn1)c(CCC)c2O
tox21-mitotox-p1	CID_8691	1	8691	Cl.Nc2nc(N)ccc2/N=N/c1ccccc1
tox21-mitotox-p1	CID_71188	1	71188	CCN1CCN(CC1)c2cc3N(C=C(C(=O)O)C(=O)c3cc2F)C4CC4
tox21-mitotox-p1	CID_2406	1	2406	Oc2c(Sc1cc(Cl)cc(Cl)c1O)cc(Cl)cc2Cl
tox21-mitotox-p1	CID_5324346	1	5324346	FC(F)(F)c1ccc(cc1)C(\CCCCOC)=N\OCCN
tox21-mitotox-p1	CID_4764	1	4764	Oc1ccc(cc1)C3(OC(=O)c2ccccc23)c4ccc(O)cc4
tox21-mitotox-p1	CID_3417419	1	3417419	O=[N+]([O-])c1cc(N)ccc1O
tox21-mitotox-p1	CID_4338370	1	4338370	O=[N+]([O-])c1cc(N)ccc1N
tox21-mitotox-p1	CID_16720	1	16720	Nc2cccc1c2cccc1N
tox21-mitotox-p1	CID_3037	1	3037	Oc2ccc(Cl)cc2Cc1cc(Cl)ccc1O
tox21-mitotox-p1	CID_1732	1	1732	Oc1ccc(Cl)c(C)c1
tox21-mitotox-p1	CID_32798	1	32798	ClCC(=O)[C@@]4(OC(=O)CC)[C@@H](C)C[C@@H]3[C@]4(C)C[C@H](O)[C@@]2(F)[C@H]3CCC1=CC(=O)C=C[C@@]12C
tox21-mitotox-p1	CID_5284537	1	5284537	CC(=O)[C@@]4(O)CC[C@H]3[C@@H]5C=C(Cl)C2=CC(=O)[C@@H]1C[C@@H]1[C@]2(C)[C@H]5CC[C@@]34C
tox21-mitotox-p1	CID_4747	1	4747	OC1CCN(CC1)CCCN2c4ccccc4Sc3ccc(C#N)cc23
tox21-mitotox-p1	CID_16129778	1	16129778	OC1=CC(=CC(O)=C1O)C(=O)OC1=CC(=CC(O)=C1O)C(=O)OC[C@H]1O[C@@H](OC(=O)C2=CC(O)=C(O)C(OC(=O)C3=CC(O)=C(O)C(O)=C3)=C2)[C@H](OC(=O)C2=CC(O)=C(O)C(OC(=O)C3=CC(O)=C(O)C(O)=C3)=C2)[C@@H](OC(=O)C2=CC(O)=C(O)C(OC(=O)C3=CC(O)=C(O)C(O)=C3)=C2)[C@@H]1OC(=O)C1=CC(O)=C(O)C(OC(=O)C2=CC(O)=C(O)C(O)=C2)=C1
tox21-mitotox-p1	CID_16667700	1	16667700	O=C(O)C(O)C(O)C(=O)O.COc4ccccc4OCCNCC(O)COc2cccc3nc1ccccc1c23
tox21-mitotox-p1	CID_443879	1	443879	Oc1ccc(C)cc1[C@H](CCN(C(C)C)C(C)C)c2ccccc2
tox21-mitotox-p1	CID_443375	1	443375	O=C(N[C@H]2N=C(c1ccccc1N(C)C2=O)c3ccccc3)c4cc5ccccc5n4
tox21-mitotox-p1	CID_5282060	1	5282060	Oc5cc1c3c4c(C(=O)c2c(O)cc(O)c(C(=O)C1(C)C)c23)c(O)cc(C)c45
tox21-mitotox-p1	CID_54704052	1	54704052	O=C(c1c(O)n(C(N)=O)c2ccc(Cl)cc12)c3cccs3
tox21-mitotox-p1	CID_20054868	1	20054868	[H][C@]1(CC2=CC3=CC(O[C@H]4C[C@@H](O[C@@H]5C[C@@H](O)[C@@H](OC)[C@@H](C)O5)[C@@H](OC(O)=O)[C@@H](C)O4)=C(C)C(O)=C3C(O)=C2C(=O)[C@H]1O[C@H]1C[C@@H](O[C@H]2C[C@@H](O[C@H]3C[C@](C)(O)[C@@H](OC(C)=O)[C@H](C)O3)[C@H](O)[C@@H](C)O2)[C@H](O)[C@@H](C)O1)[C@H](OC)C(=O)[C@@H](O)[C@@H](C)O
tox21-mitotox-p1	CID_29393	1	29393	O=S(N)(=O)c1cc(c(c(c1)[N+]([O-])=O)N(CCC)CCC)[N+]([O-])=O
tox21-mitotox-p1	CID_175967	1	175967	O=C2CCCC(=O)C2C(=O)c1ccc(cc1[N+]([O-])=O)S(C)(=O)=O
tox21-mitotox-p1	CID_9298	1	9298	Clc1cc(OP(=S)(OC)OC)c(Cl)cc1Cl
tox21-mitotox-p1	CID_13486	1	13486	[I-].CCN3c4ccccc4SC3=CC=Cc2sc1ccccc1[n+]2CC
tox21-mitotox-p1	CID_16212515	1	16212515	Oc2cc(ccc2C=Cc1ccc(cc1)C(=N)N)C(=N)N.CS(=O)(=O)O.CS(=O)(=O)O
tox21-mitotox-p1	CID_441412	1	441412	Cl.CN3CCC(OC(=O)C(OCCC)(c1ccccc1)c2ccccc2)CC3
tox21-mitotox-p1	CID_6433197	1	6433197	[I-].CCN3c4ccccc4SC3=CC=CC=Cc2sc1ccccc1[n+]2CC
tox21-mitotox-p1	CID_60196347	1	60196347	[Cl-].CCN3c4ccccc4SC3=CC=CC=Cc2sc1ccccc1[n+]2CC
tox21-mitotox-p1	CID_155032	1	155032	Cl.OC(CSc1nc(cs1)c2ccc(s2)C(N)=O)CNC(C)(C)C
tox21-mitotox-p1	CID_108143	1	108143	O=C(O)c1ccc(cc1)C(=O)Nc2ccc3c(c2)C(C)(C)CCC3(C)C
tox21-mitotox-p1	CID_71470	1	71470	CCC(=O)OCC(=O)[C@@]4(OC(=O)CCC)[C@@H](C)C[C@@H]3[C@]4(C)C[C@H](O)[C@@]2(F)[C@H]3CCC1=CC(=O)C=C[C@@]12C
tox21-mitotox-p1	CID_4011	1	4011	CNCCCC24CCC(c1ccccc12)c3ccccc34
tox21-mitotox-p1	CID_4507	1	4507	CC=1NC(C)=C(C(C=1C(=O)OCC)c2cccc(c2)[N+]([O-])=O)C(=O)OC
tox21-mitotox-p1	CID_4418	1	4418	OC(CN1CCN(CC1)c2ccccc2OC)COc4cccc3ccccc34
tox21-mitotox-p1	CID_4488	1	4488	FC(F)(F)c1cc(ccc1)Nc2ncccc2C(=O)O
tox21-mitotox-p1	CID_4495	1	4495	[O-][N+](=O)c2cc(Oc1ccccc1)c(cc2)NS(C)(=O)=O
tox21-mitotox-p1	CID_4477	1	4477	Clc2cc(ccc2NC(=O)c1cc(Cl)ccc1O)[N+]([O-])=O
tox21-mitotox-p1	CID_71398	1	71398	Oc2ccc(C[C@@H](C)[C@@H](C)Cc1ccc(O)c(O)c1)cc2O
tox21-mitotox-p1	CID_4474	1	4474	CC=2NC(C)=C(C(C=2C(=O)OCCN(C)Cc1ccccc1)c3cccc(c3)[N+]([O-])=O)C(=O)OC
tox21-mitotox-p1	CID_3926	1	3926	Cc4cccc(C)c4NC(=O)CN3CCN(CCCC(c1ccc(F)cc1)c2ccc(F)cc2)CC3
tox21-mitotox-p1	CID_443955	1	443955	O=C(OCC)C1=C[C@@]5(CCCN4CCc3c(n1c2ccccc23)[C@@H]45)CC
tox21-mitotox-p1	CID_3658	1	3658	Clc1ccc(cc1)C(c2ccccc2)N3CCN(CC3)CCOCCO
tox21-mitotox-p1	CID_26248	1	26248	CC(=O)Oc3cccc2C(=O)c1cc(cc(OC(C)=O)c1C(=O)c23)C(=O)O
tox21-mitotox-p1	CID_2950	1	2950	Oc3cccc2C(=O)c1cccc(O)c1C(=O)c23
tox21-mitotox-p1	CID_5281034	1	5281034	O=C3C[C@@H]4CC[C@@H]2[C@H](CC[C@@]1(C)[C@H]2CC[C@]1(C)O)[C@@]4(C)C\C3=C\O
tox21-mitotox-p1	CID_5362123	1	5362123	Cl.O=C(OCC)[C@H](CCc1ccccc1)N[C@H]3CCc2ccccc2N(CC(=O)O)C3=O
tox21-mitotox-p1	CID_150311	1	150311	Fc1ccc(cc1)[C@@H](O)CC[C@H]3C(=O)N(c2ccc(F)cc2)[C@@H]3c4ccc(O)cc4
tox21-mitotox-p1	CID_16114800	1	16114800	[Ca+2].O=S(C)(=O)N(C)c1nc(c(/C=C/C(O)CC(O)CC([O-])=O)c(n1)C(C)C)c2ccc(F)cc2.[O-]C(=O)CC(O)CC(O)/C=C/c2c(nc(nc2c1ccc(F)cc1)N(C)S(C)(=O)=O)C(C)C
tox21-mitotox-p1	CID_65999	1	65999	O=C(O)c1ccccc1c2ccc(cc2)Cn3c4cc(cc(C)c4nc3CCC)c6nc5ccccc5n6C
tox21-mitotox-p1	CID_42725	1	42725	O=C(Nc1ccccc1N)c2ccc(N)cc2
tox21-mitotox-p1	CID_28718	1	28718	O=C(O)c2cccnc2Nc1cccc(Cl)c1C
tox21-mitotox-p1	CID_16351	1	16351	CN1CCN(CC1)C3=Nc4ccccc4Sc2ccc(Cl)cc23
tox21-mitotox-p1	CID_49381	1	49381	CN1CCN(CC1)C2=Nc4cc(F)ccc4Cc3ccccc23
tox21-mitotox-p1	CID_7547	1	7547	Clc2ccc(NC(=O)Nc1ccc(Cl)cc1)cc2Cl
tox21-mitotox-p1	CID_8814	1	8814	Oc1ccc(cc1)C(C)(C)CC(C)(C)C
tox21-mitotox-p1	CID_62485	1	62485	CC(C)(C)CC(C)(C)c1cc(c(O)cc1)n2nc3ccccc3n2
tox21-mitotox-p1	CID_56205	1	56205	Cl.CN1CCN(CC1)c2cc3N(C=C(C(=O)O)C(=O)c3cc2F)c4ccc(F)cc4
tox21-mitotox-p1	CID_42574	1	42574	Clc3cc(NC(=O)c1cc(I)cc(I)c1O)c(C)cc3C(C#N)c2ccc(Cl)cc2
tox21-mitotox-p1	CID_177843	1	177843	[Cl-].O.O.C[N+](C)(Cc1ccccc1)CCCCCCCCCCCCCC
tox21-mitotox-p1	CID_5281082	1	5281082	O=C(O)/C=C\C(=O)O.O=C(O)/C=C\C(=O)O.CC(=O)c2cc3N(CCCN1CCN(CCO)CC1)c4ccccc4Sc3cc2
tox21-mitotox-p1	CID_6433356	1	6433356	O=C(O)/C=C\C(=O)O.O=C(O)/C=C\C(=O)O.CCC(=O)c2cc3N(CCCN1CCN(CCO)CC1)c4ccccc4Sc3cc2
tox21-mitotox-p1	CID_21517	1	21517	[O-]S(=O)(=O)c1ccc(C)cc1.CCCCCCCCCCCC[n+]1cc2ccccc2cc1
tox21-mitotox-p1	CID_5388983	1	5388983	O=S(=O)(O)O.O=C(OC)[C@@]2(C[C@@H]4C[C@@](O)(CC)C[N@](CCc1c3ccccc3nc12)C4)c5cc9c(cc5OC)N(C)[C@@H]6[C@]98CCN7CC=C[C@@](CC)([C@@H](OC(C)=O)[C@]6(O)C(=O)OC)[C@H]78
tox21-mitotox-p1	CID_26041	1	26041	[O-][n+]2ccccc2S[Zn]Sc1cccc[n+]1[O-]
tox21-mitotox-p1	CID_44460585	1	44460585	CC(=O)N[C@H]1[C@@H](OC)C[C@@H](O[C@H]1C)O[C@@H]2[C@@H](OC)C[C@@H](O[C@H]2C)O[C@@H]3C(C)=CC[C@@H]6C[C@H](OC(=O)[C@@H]4C=C(C)[C@@H](O)[C@H]5OCC(=CC=C[C@@H]3C)[C@@]45O)C[C@@]7(O6)C=C[C@H](C)[C@H](O7)C(C)CC
tox21-mitotox-p1	CID_4615	1	4615	O=C5Nc1ccccc1N5CCCN2CCN(CC2)C(c3ccccc3)c4ccccc4
tox21-mitotox-p1	CID_4927	1	4927	CN(C)C(C)CN1c3ccccc3Sc2ccccc12
tox21-mitotox-p1	CID_4932	1	4932	CCCNCC(O)COc2ccccc2C(=O)CCc1ccccc1
tox21-mitotox-p1	CID_4992	1	4992	COc1ccc(cc1)CN(CCN(C)C)c2ccccn2
tox21-mitotox-p1	CID_54676228	1	54676228	OC=2c1ccccc1S(=O)(=O)N(C)C=2C(=O)Nc3ccccn3
tox21-mitotox-p1	CID_4748	1	4748	OCCN1CCN(CC1)CCCN2c4ccccc4Sc3ccc(Cl)cc23
tox21-mitotox-p1	CID_5282484	1	5282484	O=C(O)/C=C\C(=O)O.CN(C)C[C@@H](C)CN1c3ccccc3Sc2ccc(OC)cc12
tox21-mitotox-p1	CID_169870	1	169870	CC(=O)[C@@]3(OC(=O)CCCCC)CC[C@H]2[C@@H]4CCC1=CC(=O)CC[C@]1(C)[C@H]4CC[C@@]23C
tox21-mitotox-p1	CID_5284616	1	5284616	O[C@@H]1CC[C@H](C[C@H]1OC)C[C@@H](C)[C@H]2OC(=O)[C@@H]4CCCCN4C(=O)C(=O)[C@]3(O)O[C@H](C[C@H](OC)C(C)=CC=CC=C[C@@H](C)C[C@@H](C)C(=O)[C@H](OC)[C@H](O)C(C)=C[C@@H](C)C(=O)C2)CC[C@H]3C
